Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
C.J. Williams,12,SG,5-Jun,226,February 6 1990,us US,1,NC State,willicj01
Lonzo Ball,2,PG,6-Jun,190,October 27 1997,us US,1,UCLA,balllo01
Michael Beasley,11,PF,9-Jun,235,January 9 1989,us US,10,Kansas State,beaslmi01
Isaac Bonga,17,PG,8-Jun,180,November 8 1999,de DE,R,,bongais01
Reggie Bullock,35,SG,6-Jun,205,March 16 1991,us US,5,UNC,bullore01
Kentavious Caldwell-Pope,1,SG,5-Jun,204,February 18 1993,us US,5,Georgia,caldwke01
Alex Caruso,4,PG,5-Jun,186,February 28 1994,us US,1,Texas A&M,carusal01
Tyson Chandler,5,C,Jul-00,235,October 2 1982,us US,17,,chandty01
Josh Hart,3,SG,4-Jun,215,March 6 1995,us US,1,Villanova,hartjo01
Andre Ingram,20,SG,3-Jun,190,November 19 1985,us US,1,American University,ingraan01
Brandon Ingram,14,SF,8-Jun,190,September 2 1997,us US,2,Duke,ingrabr01
LeBron James,23,SF,9-Jun,250,December 30 1984,us US,15,,jamesle01
Jemerrio Jones,10,SF,5-Jun,174,April 9 1995,us US,R,Hill College New Mexico State,jonesje01
Kyle Kuzma,0,PF,9-Jun,221,July 24 1995,us US,1,Utah,kuzmaky01
Scott Machado,10,PG,1-Jun,205,June 8 1990,us US,1,Iona College,machasc01
JaVale McGee,7,C,Jul-00,270,January 19 1988,us US,10,Nevada,mcgeeja01
Mike Muscala,31,PF,10-Jun,240,July 1 1991,us US,5,Bucknell,muscami01
Svi Mykhailiuk,10,SF,7-Jun,205,June 10 1997,ua UA,R,Kansas,mykhasv01
Rajon Rondo,9,PG,1-Jun,180,February 22 1986,us US,12,Kentucky,rondora01
Lance Stephenson,6,SG,6-Jun,230,September 5 1990,us US,8,Cincinnati,stephla01
Moritz Wagner,15,C,11-Jun,245,April 26 1997,de DE,R,Michigan,wagnemo01
Johnathan Williams,19,C,9-Jun,228,May 22 1995,us US,R,Missouri Gonzaga,willijo04
Ivica Zubac,40,C,Jul-00,240,March 18 1997,ba BA,2,,zubaciv01
